"Population by age, type of locality, religious affiliation, and sex",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Age/Type of locality, All religions ,,,, No religion ,,,, Christian ,,, Islam ,,,, Traditional ,,,, Other ,,,,Age/Type of locality
, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female , Both Sexes , Male , Female ,, Both Sexes , Male , Female ,, Both Sexes , Male , Female ,,
All ages,,,,,,,,,,,,,,,,,,,,,,,,All ages
All localities,"24,658,823","12,024,845","12,633,978",,"1,302,077","804,239","497,838",,"17,546,837","8,275,325","9,271,512","4,345,723","2,203,837","2,141,886",,"1,270,272","646,380","623,892",,"193,914","95,064","98,850",,All localities
Urban,"12,545,229","6,016,059","6,529,170",,"479,550","307,011","172,539",,"9,562,446","4,449,980","5,112,466","2,264,792","1,138,846","1,125,946",,"140,267","71,653","68,614",,"98,174","48,569","49,605",,Urban
Rural,"12,113,594","6,008,786","6,104,808",,"822,527","497,228","325,299",,"7,984,391","3,825,345","4,159,046","2,080,931","1,064,991","1,015,940",,"1,130,005","574,727","555,278",,"95,740","46,495","49,245",,Rural
Under 1  ,,,,,,,,,,,,,,,,,,,,,,,,Under 1  
All localities,"731,201","370,320","360,881",,"41,484","21,278","20,206",,"520,518","262,537","257,981","127,812","65,689","62,123",,"35,521","17,915","17,606",,"5,866","2,901","2,965",,All localities
Urban,"356,683","180,060","176,623",,"14,230","7,453","6,777",,"270,375","135,632","134,743","65,500","33,765","31,735",,"3,826","1,863","1,963",,"2,752","1,347","1,405",,Urban
Rural,"374,518","190,260","184,258",,"27,254","13,825","13,429",,"250,143","126,905","123,238","62,312","31,924","30,388",,"31,695","16,052","15,643",,"3,114","1,554","1,560",,Rural
   1 - 4  ,,,,,,,,,,,,,,,,,,,,,,,,   1 - 4  
All localities,"2,674,205","1,361,467","1,312,738",,"130,019","67,543","62,476",,"1,849,896","939,127","910,769","526,872","269,075","257,797",,"147,458","75,571","71,887",,"19,960","10,151","9,809",,All localities
Urban,"1,184,708","602,957","581,751",,"36,963","19,339","17,624",,"886,400","449,774","436,626","240,871","123,363","117,508",,"12,027","6,158","5,869",,"8,447","4,323","4,124",,Urban
Rural,"1,489,497","758,510","730,987",,"93,056","48,204","44,852",,"963,496","489,353","474,143","286,001","145,712","140,289",,"135,431","69,413","66,018",,"11,513","5,828","5,685",,Rural
   5 - 9  ,,,,,,,,,,,,,,,,,,,,,,,,   5 - 9  
All localities,"3,128,952","1,589,632","1,539,320",,"127,960","70,231","57,729",,"2,207,296","1,111,630","1,095,666","599,354","306,466","292,888",,"170,967","89,492","81,475",,"23,375","11,813","11,562",,All localities
Urban,"1,389,660","697,031","692,629",,"35,702","19,535","16,167",,"1,055,299","526,004","529,295","274,474","139,167","135,307",,"14,163","7,333","6,830",,"10,022","4,992","5,030",,Urban
